ac_number,constituency,district,region,turnout_pct_2026,source
158,Chidambaram,Cuddalore,Central,,
159,Kattumannarkoil,Cuddalore,Central,,
160,Sirkali,Nagapattinam,Delta,,
161,Mayiladuthurai,Nagapattinam,Delta,,
162,Poompuhar,Nagapattinam,Delta,,
163,Nagapattinam,Nagapattinam,Delta,,
164,Kilvelur,Nagapattinam,Delta,,
165,Vedaranyam,Nagapattinam,Delta,,
166,Thiruthuraipundi,Tiruvarur,Delta,,
167,Mannargudi,Tiruvarur,Delta,,
168,Thiruvarur,Tiruvarur,Delta,,
169,Nannilam,Tiruvarur,Delta,,
170,Thiruvidamarudur,Thanjavur,Delta,,
171,Kumbakonam,Thanjavur,Delta,,
172,Papanasam,Thanjavur,Delta,,
173,Thiruvaiyaru,Thanjavur,Delta,,
174,Thanjavur,Thanjavur,Delta,,
175,Orathanad,Thanjavur,Delta,,
176,Pattukkottai,Thanjavur,Delta,,
177,Peravurani,Thanjavur,Delta,,
178,Gandharvakottai,Pudukkottai,Delta,,
179,Viralimalai,Pudukkottai,Delta,,
180,Pudukkottai,Pudukkottai,Delta,,
181,Thirumayam,Pudukkottai,Delta,,
182,Alangudi,Pudukkottai,Delta,,
183,Arantangi,Pudukkottai,Delta,,
184,Karaikudi,Sivaganga,South,,
185,Tiruppattur,Sivaganga,South,,
186,Sivaganga,Sivaganga,South,,
187,Manamadurai,Sivaganga,South,,
188,Melur,Madurai,South,,
189,Madurai East,Madurai,South,,
190,Sholavandan,Madurai,South,,
191,Madurai North,Madurai,South,,
192,Madurai South,Madurai,South,,
193,Madurai Central,Madurai,South,,
194,Madurai West,Madurai,South,,
195,Thiruparankundram,Madurai,South,,
196,Thirumangalam,Madurai,South,,
197,Usilampatti,Madurai,South,,
198,Andipatti,Theni,South,,
199,Periyakulam,Theni,South,,
200,Bodinayakanur,Theni,South,,
201,Cumbum,Theni,South,,
202,Rajapalayam,Virudhunagar,South,,
203,Srivilliputhur,Virudhunagar,South,,
204,Sattur,Virudhunagar,South,,
205,Sivakasi,Virudhunagar,South,,
206,Virudhunagar,Virudhunagar,South,,
207,Aruppukottai,Virudhunagar,South,,
208,Tiruchuli,Virudhunagar,South,,
209,Paramakudi,Ramanathapuram,South,,
210,Tiruvadanai,Ramanathapuram,South,,
211,Ramanathapuram,Ramanathapuram,South,,
212,Mudukulathur,Ramanathapuram,South,,
213,Vilathikulam,Thoothukudi,South,,
214,Thoothukkudi,Thoothukudi,South,,
215,Tiruchendur,Thoothukudi,South,,
216,Srivaikuntam,Thoothukudi,South,,
217,Ottapidaram,Thoothukudi,South,,
218,Kovilpatti,Thoothukudi,South,,
219,Sankarankovil,Tirunelveli,South,,
220,Vasudevanallur,Tirunelveli,South,,
221,Kadayanallur,Tirunelveli,South,,
222,Tenkasi,Tirunelveli,South,,
223,Alangulam,Tirunelveli,South,,
224,Tirunelveli,Tirunelveli,South,,
225,Ambasamudram,Tirunelveli,South,,
226,Palayamcottai,Tirunelveli,South,,
227,Nanguneri,Tirunelveli,South,,
228,Radhapuram,Tirunelveli,South,,
229,Kanniyakumari,Kanniyakumari,South,,
230,Nagercoil,Kanniyakumari,South,,
231,Colachel,Kanniyakumari,South,,
232,Padmanabhapuram,Kanniyakumari,South,,
233,Vilavancode,Kanniyakumari,South,,
234,Killiyoor,Kanniyakumari,South,,
