ac_number_2021,constituency_2021,region_2021,reserved_2021,valid_votes_2021,n_candidates_2021,winner_2021,winner_party_2021,winner_party_norm_2021,winner_votes_2021,winner_share_pct_2021,runner_up_2021,runner_up_party_norm_2021,runner_up_votes_2021,margin_pct_2021,turnout_pct_2021,ac_number_2026,constituency_2026,region_2026,reserved_2026,valid_votes_2026,n_candidates_2026,winner_2026,winner_party_2026,winner_party_norm_2026,winner_votes_2026,winner_share_pct_2026,runner_up_2026,runner_up_party_norm_2026,runner_up_votes_2026,margin_pct_2026,ac_number,flip_raw,flip_norm,margin_delta,constituency,district,region,reserved,turnout_pct_2026
25,Mylapore,Chennai Metro,GEN,152143,23,VELU.DHA,DMK,DMK,68392,44.95,NATARAJ.R,AIADMK,55759,8.3,56.6,25,Mylapore,Chennai Metro,GEN,149824,19,VENKATARAMANAN. P,TVK,TVK,70070,46.77,VELU. DHA,DMK,41098,19.34,25,True,True,11.04,Mylapore,Chennai,Chennai Metro,GEN,
26,Velachery,Chennai Metro,GEN,174972,23,JMH.AASSAN MAULAANA,INC,INC,68493,39.15,M.K.ASHOK,AIADMK,64141,2.49,56.18,26,Velachery,Chennai Metro,GEN,183479,27,KUMAR. R,TVK,TVK,80430,43.84,ASHOK. M.K,AIADMK,47125,18.15,26,True,True,15.659999999999998,Velachery,Chennai,Chennai Metro,GEN,
27,Shozhinganallur,Chennai Metro,GEN,385325,26,S.ARAVINDRAMESH,DMK,DMK,171558,44.52,K.P.KANDAN,AIADMK,136153,9.19,55.51,27,Shozhinganallur,Chennai Metro,GEN,445216,27,ECR P SARAVANAN,TVK,TVK,220382,49.5,S. ARAVIND RAMESH,DMK,123602,21.74,27,True,True,12.549999999999999,Shozhinganallur,Kanchipuram,Chennai Metro,GEN,
28,Alandur,Chennai Metro,GEN,235863,25,T.M.Anbarasan,DMK,DMK,116785,49.51,B.Valarmathi,AIADMK,76214,17.2,60.82,28,Alandur,Chennai Metro,GEN,260307,23,M.HARISH,TVK,TVK,112205,43.1,T.M.ANBARASAN,DMK,82596,11.37,28,True,True,-5.83,Alandur,Kanchipuram,Chennai Metro,GEN,
29,Sriperumbudur,Chennai Metro,SC,262123,15,SELVAPERUNTHAGAI,INC,INC,115353,44.01,PALANI,AIADMK,104474,4.15,73.94,29,Sriperumbudur,Chennai Metro,SC,329927,13,THENNARASU.K,TVK,TVK,147611,44.74,K. SELVAPERUNTHAGAI,INC,93365,16.44,29,True,True,12.290000000000001,Sriperumbudur,Kanchipuram,Chennai Metro,SC,
30,Pallavaram,Chennai Metro,GEN,264249,22,KARUNANITHI,DMK,DMK,126427,47.84,RAJENDRAN,AIADMK,88646,14.3,60.86,30,Pallavaram,Chennai Metro,GEN,282075,23,J.KAMATCHI,TVK,TVK,133611,47.37,D.MURUGESAN,DMDK,78918,19.39,30,True,True,5.09,Pallavaram,Kanchipuram,Chennai Metro,GEN,
31,Tambaram,Chennai Metro,GEN,246684,22,Raja.S.R,DMK,DMK,116840,47.36,Chinnaiyah.T.K.M,AIADMK,80016,14.93,59.55,31,Tambaram,Chennai Metro,GEN,277297,15,D.SARATHKUMAR,TVK,TVK,118967,42.9,R.S.KIRUTHIKA DEVI,DMK,83346,12.85,31,True,True,-2.08,Tambaram,Kanchipuram,Chennai Metro,GEN,
32,Chengalpattu,Chennai Metro,GEN,271012,13,VARALAKSHMI.M,DMK,DMK,130573,48.18,GAJENDRAN.M,AIADMK,103908,9.84,63.54,32,Chengalpattu,Chennai Metro,GEN,322615,15,S. THIYAGARAJAN,TVK,TVK,137136,42.51,KARTHIKDHANDAPANI,DMK,101495,11.05,32,True,True,1.2100000000000009,Chengalpattu,Kanchipuram,Chennai Metro,GEN,
33,Thiruporur,North,GEN,224747,11,S.S.Balaji,VCK,VCK,93954,41.8,Arumugam.K,PMK,92007,0.87,76.36,33,Thiruporur,North,GEN,261161,11,B.VIJAYARAJ,TVK,TVK,110095,42.16,R. PANNEERDOSS,VCK,70744,15.07,33,True,True,14.200000000000001,Thiruporur,Kanchipuram,North,GEN,
34,Cheyyur,North,SC,177979,9,Babu M,VCK,VCK,82750,46.49,Kanitha S,AIADMK,78708,2.27,77.88,34,Cheyyur,North,SC,186801,13,RAJASEKAR. E,AIADMK,AIADMK,63809,34.16,MOHAN RAJA.M.G.K,TVK,58141,3.03,34,True,True,0.7599999999999998,Cheyyur,Kanchipuram,North,SC,
