ac_number,constituency,region,reserved,valid_votes,n_candidates,winner,winner_party,winner_party_norm,winner_votes,winner_share_pct,runner_up,runner_up_party_norm,runner_up_votes,margin_pct,turnout_pct
183,Aranthangi,Delta,GEN,182150,15,MOHAMED FARVAS. J,TVK,TVK,73244,40.21,RAMACHANDRAN . T,INC,63182,5.52,
184,Karaikudi,South,GEN,228748,25,DR.PRABHU. TK,TVK,TVK,101358,44.31,MANGUDI. S,INC,55284,20.14,
185,Tiruppattur,South,GEN,214963,15,SEENIVASA SETHUPATHY. R,TVK,TVK,83375,38.79,PERIAKARUPPAN. KR,DMK,83374,0.0,
186,Sivaganga,South,GEN,213014,17,KULANTHAI RANI A,TVK,TVK,73737,34.62,SENTHILNATHAN PR,AIADMK,58656,7.08,
187,Manamadurai,South,SC,207797,14,ELANGOVAN.D,TVK,TVK,69971,33.67,TAMILARASI.A,DMK,68763,0.58,
188,Melur,South,GEN,190172,13,P.VISWANATHAN,INC,INC,60080,31.59,A.MADURAIVEERAN,TVK,57356,1.43,
189,Madurai East,South,GEN,270389,15,KARTHIKEYAN S,TVK,TVK,118777,43.93,MOORTHY P,DMK,102230,6.12,
190,Sholavandan,South,SC,188509,14,KARUPPAIAH.M.V,TVK,TVK,63907,33.9,VENKATESAN.A,DMK,61229,1.42,
191,Madurai North,South,GEN,161048,13,A.KALLANAI,TVK,TVK,72853,45.24,G.THALAPATHI,DMK,54815,11.2,
192,Madurai South,South,GEN,140891,6,M.M.GOPISON,TVK,TVK,62415,44.3,M.BOOMINATHAN,DMK,40886,15.28,
193,Madurai Central,South,GEN,147930,12,MADHAR BADHURUDEEN,TVK,TVK,63414,42.87,PALANIVEL THIAGA RAJAN,DMK,44286,12.93,
194,Madurai West,South,GEN,215510,14,THANGAPANDI SR,TVK,TVK,88250,40.95,BALAJI R,DMK,76319,5.54,
195,Thiruparankundram,South,GEN,254318,15,NIRMALKUMAR. R.,TVK,TVK,114316,44.95,KIRUTHIGA THANGAPANDI,DMK,72763,16.34,
196,Thirumangalam,South,GEN,230047,15,MANIMARAN.M,DMK,DMK,88291,38.38,UDHAYAKUMAR.R.B,AIADMK,64484,10.35,
197,Usilampatti,South,GEN,223356,12,VIJAY. M,TVK,TVK,65743,29.43,MAHENDRAN. I,AIADMK,63938,0.81,
198,Andipatti,South,GEN,216301,18,MAHARAJAN.A,DMK,DMK,74324,34.36,PANDI.V,TVK,64770,4.42,
199,Periyakulam,South,SC,209703,13,SABARI IYNGARAN G.,TVK,TVK,85656,40.85,SAKTHIVEL P.,VCK,66335,9.21,
200,Bodinayakanur,South,GEN,219697,15,PANNEERSELVAM.O,DMK,DMK,85206,38.78,PRAKASH.S,TVK,78401,3.1,
201,Cumbum,South,GEN,209907,19,JEGANATHMISHRA PLA,TVK,TVK,85394,40.68,ERAMAKRISHNAN N,DMK,84643,0.36,
202,Rajapalayam,South,GEN,182267,22,JEGADESHWARI. K,TVK,TVK,65548,35.96,THANGAPANDIAN. S,DMK,54943,5.82,
203,Srivilliputhur,South,SC,192598,14,KARTHIK.A,TVK,TVK,65653,34.09,MAHALINGAM.P,CPI,57072,4.46,
204,Sattur,South,GEN,198258,22,KADARKARAIRAJ. A,DMK,DMK,62060,31.3,NAINAR NAGENTHRAN,BJP,56071,3.02,
205,Sivakasi,South,GEN,192569,14,KEERTHANA S,TVK,TVK,68709,35.68,ASHOKAN G,INC,57039,6.06,
206,Virudhunagar,South,GEN,166878,15,SELVAM P,TVK,TVK,63653,38.14,VIJAYAPRABHAKAR,DMDK,54262,5.63,
207,Aruppukkottai,South,GEN,177721,25,RAMACHANDRAN. K.K.S.S.R,DMK,DMK,65104,36.63,KARTHIK KUMAR. K,TVK,60161,2.78,
208,Tiruchuli,South,GEN,180825,23,THANGAM THENARASU,DMK,DMK,75085,41.52,SAMAYAN.S,TVK,61600,7.46,
209,Paramakudi,South,SC,189043,12,ADVOCATE. KATHIRAVAN. K.K,DMK,DMK,59161,31.29,GOPIRAJAN. G,TVK,55613,1.88,
210,Tiruvadanai,South,GEN,219924,21,RAJEEV,TVK,TVK,69551,31.63,RM. KARUMANICKAM,INC,67038,1.14,
211,Ramanathapuram,South,GEN,236623,13,KATHARBATCHA MUTHURAMALINGAM,DMK,DMK,89137,37.67,SHAHUL HAMEED,TVK,76678,5.27,
212,Mudhukulathur,South,GEN,230944,20,R.S.RAJAKANNAPPAN,DMK,DMK,68003,29.45,MALARVIZHI. B,TVK,51405,7.19,
213,Vilathikulam,South,GEN,174172,15,MARKANDAYAN G V,DMK,DMK,58395,33.53,P. KASIRAM,TVK,50167,4.72,
214,Thoothukkudi,South,GEN,203859,15,SRINATH,TVK,TVK,100536,49.32,P. GEETHA JEEVAN,DMK,62805,18.51,
215,Tiruchendur,South,GEN,185328,13,ANITHA R. RADHAKRISHNAN,DMK,DMK,72723,39.24,J. MURUGAN,TVK,66851,3.17,
216,Srivaikuntam,South,GEN,175842,15,SARAVANAN. G,TVK,TVK,58814,33.45,SHANMUGANATHAN. S. P,AIADMK,57628,0.67,
217,Ottapidaram,South,SC,195238,13,P .MATHANRAJA,TVK,TVK,81625,41.81,P.M.RAMAJEYAM,DMK,52542,14.9,
218,Kovilpatti,South,GEN,193639,21,KARUNANITHI.K,DMK,DMK,61643,31.83,BALASUBRAMANIAN.S,TVK,60800,0.44,
219,Sankarankovil,South,SC,195920,20,DR. DHILIPAN JAISHANKAR,AIADMK,AIADMK,64865,33.11,C. RAMARAJAN,TVK,58376,3.31,
220,Vasudevanallur,South,SC,189158,18,E. RAJA,DMK,DMK,63045,33.33,ANANTHAN AYYASAMY,BJP,56462,3.48,
221,Kadayanallur,South,GEN,221424,22,RAJENDRAN. T. M,DMK,DMK,79832,36.05,C. KRISHNAMURALI,AIADMK,73579,2.82,
222,Tenkasi,South,GEN,234314,22,DR.KALAI KATHIRAVAN,DMK,DMK,79699,34.01,S.SELVA MOHANDAS PANDIAN,AIADMK,69400,4.4,
223,Alangulam,South,GEN,219875,13,PAUL MANOJ PANDIAN,DMK,DMK,69170,31.46,K R P PRABAKARAN,AIADMK,61372,3.55,
224,Tirunelveli,South,GEN,217708,20,MURUGHAN.R.S.,TVK,TVK,75840,34.84,SUBRAMANIAN.S,DMK,64426,5.24,
225,Ambasamudram,South,GEN,190135,5,DR.ESAKKI SUBAYA,AIADMK,AIADMK,65589,34.5,V.P.DURAI,INC,55344,5.39,
226,Palayamkottai,South,GEN,179769,17,M.ABDUL WAHAB,DMK,DMK,79744,44.36,MARIA JOHN,TVK,65939,7.68,
227,Nanguneri,South,GEN,208698,25,REDDIARPATTI V. NARAYANAN,TVK,TVK,74952,35.91,RUBY.R.MANOHARAN,INC,58533,7.87,
228,Radhapuram,South,GEN,199462,23,DR.SATHISH CHRISTOPHER,TVK,TVK,69947,35.07,APPAVU.M,DMK,57634,6.17,
229,Kanniyakumari,South,GEN,238325,14,THALAVAI SUNDARAM. N,AIADMK,AIADMK,75045,31.49,MAHESH.R,DMK,74831,0.09,
230,Nagercoil,South,GEN,195833,20,AUSTIN,DMK,DMK,69880,35.68,BERVIN KINGS G,TVK,62310,3.87,
231,Colachal,South,GEN,198432,13,THARAHAI CUTHBERT,INC,INC,66207,33.37,PREM ALEX LAWRENCE,TVK,63374,1.43,
232,Padmanabhapuram,South,GEN,179940,11,CHELLASWAMY. R,CPI(M),CPI(M),68938,38.31,KRISHNA KUMAR. S,TVK,53369,8.65,
233,Vilavancode,South,GEN,174099,14,PRAVEEN T.T,INC,INC,70755,40.64,MICHAEL KUMAR K,TVK,49785,12.04,
234,Killiyoor,South,GEN,177032,13,RAJESH KUMAR. S,INC,INC,66434,37.53,SABIN. S,TVK,65123,0.74,
